weight,height,age,gender
13.7,88.6,2,2
13.9,94.2,2,1
79.5,158.3,66,2
66.3,175.7,18,1
45.4,158.4,13,1
53.5,150.2,66,2
88.8,151.1,75,2
62.1,170.6,56,1
58.9,172.8,18,1
74.9,178.6,67,1
87.1,147.8,54,2
65.6,170.6,71,1
77.7,159.2,61,1
74.4,174.1,22,1
54.4,157.3,45,1
67.0,160.5,13,2
85.1,154.0,60,2
56.8,154.6,60,2
64.9,170.1,64,1
18.2,111.4,5,2
34.3,145.8,9,2
74.3,154.5,67,2
62.7,161.9,70,1
118.1,188.1,53,1
82.8,173.2,42,1
80.2,167.6,57,1
89.2,179.9,20,1
56.1,162.4,72,1
40.8,142.6,11,2
76.5,147.7,52,1
36.9,143.4,11,1
35.0,137.6,8,1
97.7,170.2,26,1
22.5,116.3,5,2
102.9,183.4,72,1
31.9,135.8,9,2
107.9,178.3,72,1
79.3,187.8,61,1
50.8,154.7,10,2
16.8,107.1,5,1
62.1,158.4,25,2
55.0,157.7,13,2
45.1,133.9,7,2
60.1,153.6,73,2
56.3,151.4,10,2
87.2,161.5,72,1
93.8,178.5,26,2
75.4,160.7,64,2
106.7,174.9,63,1
75.8,156.9,55,2
73.1,158.6,60,1
85.6,150.6,54,2
80.2,166.4,44,1
60.8,149.8,74,2
84.1,181.5,40,1
63.1,169.9,19,1
66.4,156.6,36,2
86.4,164.7,61,1
78.5,174.9,80,1
23.5,124.7,6,1
77.1,172.3,55,1
13.3,97.5,3,1
80.6,161.9,55,2
74.6,176.0,69,1
70.9,165.5,41,2
58.5,150.4,47,2
55.4,157.8,32,2
73.3,163.6,19,2
31.7,138.9,10,2
87.5,161.7,46,2
61.0,154.9,32,1
65.1,164.7,25,2
59.9,156.9,21,2
12.4,86.2,2,2
73.7,155.0,80,2
58.7,162.1,13,2
112.8,169.5,66,2
71.0,173.4,34,2
15.9,103.3,5,2
100.6,165.2,20,1
48.7,160.4,31,2
67.5,153.7,12,1
59.1,157.1,62,2
44.5,168.6,64,1
97.4,176.6,71,1
86.3,164.3,52,2
85.4,173.0,61,2
71.3,177.0,41,1
60.2,162.8,80,2
79.0,179.0,59,1
15.4,90.8,2,2
55.4,166.4,12,1
89.9,162.9,64,2
88.2,176.1,44,1
103.6,157.8,13,2
97.1,186.1,14,1
80.6,166.7,13,1
79.6,164.2,24,1
94.9,174.8,67,1
104.3,155.3,42,2
79.3,168.9,41,2
72.9,161.5,32,2
61.3,158.7,55,1
87.6,176.0,14,1
57.7,143.7,63,2
72.6,162.7,11,2
55.0,161.4,16,2
24.8,113.0,6,2
85.3,159.8,58,2
72.2,159.4,52,2
92.7,174.2,74,1
52.3,161.9,68,2
12.7,87.4,2,2
82.5,161.4,38,2
111.4,186.1,67,1
74.9,171.9,61,1
80.3,172.3,63,1
23.4,126.3,6,1
95.4,161.7,48,2
52.5,163.9,13,2
108.7,166.8,35,2
40.1,126.4,5,1
94.6,177.4,50,2
78.3,180.7,47,1
96.5,171.5,48,2
10.6,84.8,2,1
56.3,163.8,42,2
38.7,125.0,6,1
67.9,165.3,28,2
54.6,165.9,29,2
100.4,156.6,43,2
85.0,171.1,62,1
61.4,164.6,40,2
65.3,155.6,74,2
69.3,149.1,74,2
79.6,171.0,45,2
71.1,165.4,50,1
97.1,165.1,71,1
134.0,176.9,66,1
16.4,100.0,3,2
36.2,147.3,19,2
61.9,165.9,73,1
98.1,176.2,76,1
16.0,93.1,2,1
94.4,172.9,50,1
57.4,154.3,12,2
64.6,171.4,26,1
13.2,86.4,2,2
103.9,171.4,68,1
71.6,176.7,80,1
47.4,158.1,20,2
54.0,158.8,55,2
78.5,159.4,16,2
21.4,127.2,8,2
75.8,174.4,37,1
56.6,150.9,10,1
79.0,178.8,64,1
63.6,162.5,59,2
27.6,129.2,7,2
22.7,118.7,5,2
34.6,131.6,8,2
114.5,164.7,30,2
63.7,172.9,19,1
29.4,137.1,8,1
78.4,174.2,63,1
59.7,167.6,37,2
74.9,177.5,27,1
94.2,145.4,56,2
100.2,167.0,80,2
89.4,178.0,55,1
73.2,162.3,66,2
112.8,181.9,40,1
65.8,147.8,10,1
58.7,149.0,10,2
24.8,118.3,5,1
91.5,174.5,67,1
82.3,163.1,48,1
62.3,155.3,12,2
68.8,158.2,24,2
89.0,166.3,62,1
68.2,154.1,10,1
57.2,172.4,15,1
83.4,169.3,39,1
80.6,173.7,41,2
71.1,162.0,20,2
68.2,165.9,41,1
30.1,121.0,6,1
170.0,160.2,25,2
63.7,160.3,40,2
107.9,176.6,41,1
75.8,176.7,34,1
70.2,168.5,28,1
53.8,174.6,14,1
114.6,192.9,36,1
24.0,133.8,8,2
49.6,154.2,61,2
22.9,123.3,7,2
49.3,147.9,11,1
107.7,188.5,52,1
58.9,151.8,70,2
41.7,155.3,13,2
106.9,172.1,31,1
59.8,156.1,54,2
